Semantic Field,Structure,Database ID,Synset,Phrase 1,Phrase 2,Definiton,Jpn ID,Jpn Synset,Phrase 1,Phrase 2,Jpn Definition
Attribute,entity:abstraction:attribute:inheritance:background,04928594,background,,,"a person's social heritage: previous experience or training; ""he is a lawyer with a sports background""",04921417-n,"経歴,素姓,種姓,身元,身許,バックグラウンド,履歴,素性,身上,生い立ち,素生",,,人の生まれつきの社会的境遇：以前の経験や訓練
Attribute,entity:abstraction:attribute:personality,04624919,personality,,,"the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual; ""their different reactions reflected their very different personalities""; ""it is his nature to help others""",04617562-n,"性質,人品,性格,人,柄,品性,個性,人格,人となり,人柄,人物,心柄,パーソナリティー,パーソナリティ",,,独特の個人についてを描写する行動的、気質的、感情的、精神的なすべての属性の複合体
Attribute,entity:abstraction:attribute:personality:identity,04625427,"identity,personal identity,individuality",,,"the distinct personality of an individual regarded as a persisting entity; ""you can lose your identity when you join the army""",04618070-n,"自己同一性,独自性,インディビジュアリティー,パーソナルアイデンティティ,個性,人格,アイデンティティー,個人的特徴,個人性,パーソナルアイデンティティー,アイデンティティ,インディヴィデュアリティー",,,現存する実体と見なされた個人の異なった個性
Attribute,entity:abstraction:attribute:property:age,04931280,age,,,"how long something has existed; ""it was replaced because of its age""",04924103-n,"年,齢,年歯,馬齢,年算,年歳,年代,年齢,年紀,歳",,,何かが、どれくらい存在したか
Attribute,entity:abstraction:attribute:property:bodily property:carriage,05009987,"carriage,bearing,posture",,,"characteristic way of bearing one's body; ""stood with good posture""",05002822-n,"体位,熟し,体勢,体配り,身構,ポーズ,佇い,身熟,身のこなし,姿勢,身がまえ,体配,身ごなし,体くばり,身熟し,佇まい,身構え",,,その人の体の振舞い方の特徴
Attribute,entity:abstraction:attribute:property:bodily property:carriage:gracefulness:grace,05010755,"grace,gracility",,,"elegance and beauty of movement or expression; ""a beautiful figure which she used in subtle movements of unparalleled grace""",05003590-n,"上品さ,品,雅,エレガンス,麗しさ,品位,ほっそりとして優美なこと,気品,優雅さ,優美さ",,,上品で美しい動作、表現
Attribute,entity:abstraction:attribute:property:bodily property:fatness,05006566,"fatness,fat,blubber,avoirdupois",,,"excess bodily weight; ""she disliked fatness in herself as well as in others""",04999401-n,"太り肉,ぽってり,でぶ,でぶっちょ,肥満,脂肪ぶとり,脂肪太り,肉付きのよい,肥大",,,過度な体重
Attribute,entity:abstraction:attribute:property:bodily property:physiological property:sex,05014082,"sex,gender,sexuality",,,"the properties that distinguish organisms on the basis of their reproductive roles; ""she didn't want to know the sex of the foetus""",05006898-n,"性別,セクシュアリティー,セクシャリティー,雌雄,セックス,性,セクシュアリティ",,,生殖の役割に基づいて生物を区別する特性
Attribute,entity:abstraction:attribute:property:concentration,05045748,concentration,,,the strength of a solution; number of molecules of a substance in a given volume,05038593-n,濃度,,,溶液の濃度
Attribute,entity:abstraction:attribute:property:consistency:solidity:compactness:density,04948630,"density,denseness",,,the amount per unit size,04941453-n,"濃さ,密度,濃度",,,単位大きさあたりの量
Attribute,entity:abstraction:attribute:property:constitution,04940721,"constitution,composition,physical composition,makeup,make-up",,,the way in which someone or something is composed,04933544-n,"大組,作文,合成,組み版,組み,大刷り,構図,組立て,構成,構造,組みたて,組版,大刷,成り立ち,組み立て,作曲,粉飾,組成,成りたち,組立,組たて,大組み,形作,成立ち,文章法,制作,扮装,作法,本組み",,,人や物が構成される方法
Artifact,entity:abstraction:attribute:property:constitution:structure:infrastructure,03575552,"infrastructure,substructure",,,the basic structure or features of a system or organization,03570372-n,"基礎構造,下部構造",,,システムや組織の基本構造か特徴
Attribute,entity:abstraction:attribute:property:degree,05101152,"degree,grade,level",,,"a position on a scale of intensity or amount or quality; ""a moderate grade of intelligence""; ""a high level of care is required""; ""it is all a matter of degree""",05093890-n,"レヴェル,度合,程度,水準,レベル,程,次元,域,度合い,度",,,強さまたは量または品質の階級の位置
Attribute,entity:abstraction:attribute:property:degree:extreme,05105361,extreme,,,"the furthest or highest degree of something; ""he carried it to extremes""",05098099-n,"極度,極限,極まり,極,究極,窮まり,窮極,極端,極点",,,何かが最も度合が激しい、または最も高い程度であること
Attribute,entity:abstraction:attribute:property:degree:immoderation:excess:overplus:redundancy,05127610,"redundancy,redundance",,,"the attribute of being superfluous and unneeded; ""the use of industrial robots created redundancy among workers""",05120310-n,蛇足,,,余分で必要のない特性
